model;query;formula;satisfied;stored;explored;time;virt mem;res mem
firefly-sync-W1-H1-N10;0;E<> false;false;6501;6501;176;62616;22944
firefly-sync-W1-H1-N15;0;E<> false;false;49233;49233;179011;66924;30976
firefly-sync-W1-H1-N20;0;E<> false;unknown;0;0;0;0;0
firefly-sync-W2-H1-N4;0;E<> false;false;167359;167359;25987;74748;34592
firefly-sync-W2-H1-N5;0;E<> false;unknown;0;0;0;0;0
gossip-dyn-3;0;E<> false;false;138;138;3;62572;22100
gossip-dyn-4;0;E<> false;false;16536;16536;99;64232;23912
gossip-dyn-5;0;E<> false;false;3016463;3016463;25906;348652;309416
gossip-dyn-6;0;E<> false;unknown;0;0;0;0;0
gossip-smart-dyn-3;0;E<> false;false;135;200;3;62272;17916
gossip-smart-dyn-4;0;E<> false;false;13792;27364;538;64188;21256
gossip-smart-dyn-5;0;E<> false;false;4699522;12283672;986726;1047372;1026360
gossip-smart-dyn-6;0;E<> false;unknown;0;0;0;0;0
leader-election-2N;0;E<> false;false;40;40;0;62088;17900
leader-election-3N;0;E<> false;false;127537;128658;1070;73376;32740
leader-election-4N;0;E<> false;unknown;0;0;0;0;0
printing-projects-2-5;0;E<> false;false;7037;7037;105;62900;19340
printing-projects-2-6;0;E<> false;false;121135;121135;3064;73192;30408
printing-projects-2-7;0;E<> false;false;1546909;1546909;78747;200848;159392
printing-projects-2-8;0;E<> false;false;49755991;49755991;7914155;4524232;4497156
printing-projects-2-9;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-2;0;E<> false;false;66261;139068;385;72160;28512
tcp-aimd-3;0;E<> false;false;37528973;83573844;807340;6301824;6261100
tcp-aimd-4;0;E<> false;unknown;0;0;0;0;0
tcp-linear-2;0;E<> false;false;75045;124913;307;71128;27464
tcp-linear-3;0;E<> false;false;46989547;94104063;813729;6917152;6879788
tcp-linear-4;0;E<> false;unknown;0;0;0;0;0
SIMPLE-100;0;E<> false;false;32772;32772;14589;64756;25556
SIMPLE-1000;0;E<> false;false;32772;32772;14440;64756;25616
SIMPLE-7;0;E<> false;false;32772;32772;14675;64744;25652
