model;query;formula;satisfied;stored;explored;time;virt mem;res mem
firefly-sync-W1-H1-N10;0;E<> false;false;6501;6501;176;62616;22944
firefly-sync-W1-H1-N15;0;E<> false;false;49233;49233;179011;66924;30976
firefly-sync-W1-H1-N20;0;E<> false;unknown;0;0;0;0;0
firefly-sync-W1-H1-N5;0;E<> false;false;203;203;4;62372;21412
firefly-sync-W2-H1-N3;0;E<> false;false;1671;1671;25;62340;21864
firefly-sync-W2-H1-N4;0;E<> false;false;167359;167359;25987;74748;34592
firefly-sync-W2-H1-N5;0;E<> false;unknown;0;0;0;0;0
gossip-dyn-3;0;E<> false;false;138;138;3;62572;22100
gossip-dyn-4;0;E<> false;false;16536;16536;99;64232;23912
gossip-dyn-5;0;E<> false;false;3016463;3016463;25906;348652;309416
gossip-dyn-6;0;E<> false;unknown;0;0;0;0;0
gossip-dyn-7;0;E<> false;unknown;0;0;0;0;0
gossip-smart-dyn-3;0;E<> false;false;125;158;1;62660;22184
gossip-smart-dyn-4;0;E<> false;false;11404;17080;289;64172;20808
gossip-smart-dyn-5;0;E<> false;false;2665272;4483662;273242;455236;420864
gossip-smart-dyn-6;0;E<> false;unknown;0;0;0;0;0
gossip-smart-dyn-7;0;E<> false;unknown;0;0;0;0;0
leader-election-2N;0;E<> false;false;40;40;0;62088;17900
leader-election-3N;0;E<> false;false;127537;128658;1070;73376;32740
leader-election-4N;0;E<> false;unknown;0;0;0;0;0
leader-election-5N;0;E<> false;unknown;0;0;0;0;0
printing-projects-2-5;0;E<> false;false;7037;7037;105;62900;19340
printing-projects-2-6;0;E<> false;false;121135;121135;3064;73192;30408
printing-projects-2-7;0;E<> false;false;1546909;1546909;78747;200848;159392
printing-projects-2-8;0;E<> false;false;49755991;49755991;7914155;4524232;4497156
printing-projects-2-9;0;E<> false;unknown;0;0;0;0;0
printing-projects-3-5;0;E<> false;false;89476;89476;2411;71144;28288
printing-projects-3-6;0;E<> false;false;2979853;2979853;345635;357164;327204
printing-projects-3-7;0;E<> false;unknown;0;0;0;0;0
printing-projects-3-8;0;E<> false;unknown;0;0;0;0;0
printing-projects-3-9;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-3;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-4;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-5;0;E<> false;unknown;0;0;0;0;0
sched-var-progress-2-6;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-2;0;E<> false;false;66261;139068;385;72160;28512
tcp-aimd-3;0;E<> false;false;37528973;83573844;807340;6301824;6261100
tcp-aimd-4;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-5;0;E<> false;unknown;0;0;0;0;0
tcp-aimd-6;0;E<> false;unknown;0;0;0;0;0
tcp-linear-2;0;E<> false;false;75045;124913;307;71128;27464
tcp-linear-3;0;E<> false;false;46989547;94104063;813729;6917152;6879788
tcp-linear-4;0;E<> false;unknown;0;0;0;0;0
tcp-linear-5;0;E<> false;unknown;0;0;0;0;0
tcp-linear-6;0;E<> false;unknown;0;0;0;0;0
SIMPLE-7;0;E<> false;false;12;12;3;61852;17956
SIMPLE-100;0;E<> false;false;105;105;3;61856;17720
SIMPLE-1000;0;E<> false;false;1005;1005;13;61848;18056
